"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"1","AHU",351,"AHU-01","01","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"2","AHU",366,"AHU-02","02","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"3","AHU",361,"AHU-09","09","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"4","AHU",367,"AHU-13","13","Kristianstad","Åhus",14402056,55973569,-0.92302661338998,0.337331308442991,-1.18760645423953,-0.512819553840187
"5","ALA",219,"ALA-01","01","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"6","ALA",222,"ALA-02","02","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"7","ALA",230,"ALA-03","03","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"8","ALA",220,"ALA-04","04","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"9","ALA",229,"ALA-09","09","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"10","ALA",231,"ALA-11","11","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"11","ALA",233,"ALA-13","13","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"12","ALA",234,"ALA-14","14","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"13","ALA",236,"ALA-15","15","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"14","ALA",237,"ALA-17","17","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"15","ALA",238,"ALA-18","18","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"16","ALA",239,"ALA-19","19","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"17","ALA",240,"ALA-20","20","Øresund","Ålabadarna",12771034,55940683,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"18","BAD",519,"BAD-03","03","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"19","BAD",520,"BAD-06","06","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"20","BAD",526,"BAD-16","16","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"21","BAD",533,"BAD-17","17","Öland","Bödagården",17058547,57259256,-0.246140430237328,0.337331308442991,-1.18760645423953,-0.512819553840187
"22","BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"23","BAR",244,"BAR-02","02","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"24","BAR",247,"BAR-03","03","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"25","BAR",250,"BAR-06","06","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"26","BAR",251,"BAR-07","07","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"27","BAR",255,"BAR-10","10","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"28","BAR",258,"BAR-14","14","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"29","BAR",259,"BAR-15","15","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"30","BAR",260,"BAR-16","16","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"31","BAR",261,"BAR-17","17","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"32","BAR",262,"BAR-18","18","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"33","BAR",263,"BAR-19","19","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"34","BAR",264,"BAR-20","20","Barsebäck","Barsebäck hamn",1290189,5575528,-0.246140430237328,-0.600992561019124,0.223526583040174,-0.220125374525741
"35","BJN",394,"BJN-02","02","Karlskrona","Björkenäs",15925111,56159447,-1.59991279654263,0.337331308442991,-1.18760645423953,-0.512819553840187
"36","BJO",703,"BJO-01","01","Östersjö","Björkö",1907867998,5983484289,-0.92302661338998,-1.53931643048124,-1.50119157363503,-1.09820791246908
"37","BLA",404,"BLA-01","01","Öland","Bläsinge",16704923,56621246,-3.63057134600059,0.337331308442991,-1.18760645423953,-0.512819553840187
"38","BUR",489,"BUR-01","01","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"39","BUR",491,"BUR-03","03","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"40","BUR",493,"BUR-05","05","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"41","BUR",494,"BUR-06","06","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"42","BUR",496,"BUR-07","07","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"43","BUR",498,"BUR-09","09","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"44","BUR",499,"BUR-10","10","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"45","BUR",501,"BUR-11","11","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"46","BUR",504,"BUR-13","13","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"47","BUR",507,"BUR-14","14","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"48","BUR",508,"BUR-16","16","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"49","BUR",509,"BUR-17","17","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"50","BUR",511,"BUR-18","18","Gotland","Burgsvik",18223786,57032289,0.430745752915324,2.21397904736722,-1.18760645423953,-0.512819553840187
"51","EKO",615,"EKO-01","01","Valdemarsvik","Ekön",16854798,58175265,-3.63057134600059,0.337331308442991,-1.18760645423953,-0.512819553840187
"52","EKO",624,"EKO-09","09","Valdemarsvik","Ekön",16854798,58175265,-3.63057134600059,0.337331308442991,-1.18760645423953,-0.512819553840187
"53","FUR",383,"FUR-02","02","Pukaviksbukten","Furumon",1472029998,560954,-1.59991279654263,-0.600992561019124,-1.18760645423953,-0.512819553840187
"54","FUR",379,"FUR-18","18","Pukaviksbukten","Furumon",1472029998,560954,-1.59991279654263,-0.600992561019124,-1.18760645423953,-0.512819553840187
"55","GAL",669,"GAL-01","01","Haninge","Gålö",1832692339,5909087305,1.10763193606798,0.337331308442991,-1.34439901393728,-0.805513733154633
"56","GAL",687,"GAL-16","16","Haninge","Gålö",1832692339,5909087305,1.10763193606798,0.337331308442991,-1.34439901393728,-0.805513733154633
"57","GAS",44,"GAS-01","01","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"58","GAS",46,"GAS-02","02","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"59","GAS",47,"GAS-04","04","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"60","GAS",48,"GAS-05","05","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"61","GAS",49,"GAS-06","06","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"62","GAS",50,"GAS-07","07","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"63","GAS",51,"GAS-08","08","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"64","GAS",52,"GAS-09","09","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"65","GAS",53,"GAS-10","10","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"66","GAS",56,"GAS-11","11","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"67","GAS",66,"GAS-20","20","Kosterhavet","Gåsholmen ",11134688,58878628,-0.246140430237328,-0.600992561019124,1.16428194122665,0.365262984103152
"68","GOT",176,"GOT-01","01","Kungsbacka","Gottskär",1202123,5739626,-0.246140430237328,0.337331308442991,0.69390426213341,0.657957163417598
"69","GOT",177,"GOT-05","05","Kungsbacka","Gottskär",1202123,5739626,-0.246140430237328,0.337331308442991,0.69390426213341,0.657957163417598
"70","GOT",178,"GOT-06","06","Kungsbacka","Gottskär",1202123,5739626,-0.246140430237328,0.337331308442991,0.69390426213341,0.657957163417598
"71","GOT",179,"GOT-09","09","Kungsbacka","Gottskär",1202123,5739626,-0.246140430237328,0.337331308442991,0.69390426213341,0.657957163417598
"72","GRO",193,"GRO-01","01","Lahalmsbukten","Grötvik",1278014,5664116,1.10763193606798,-0.600992561019124,-0.246851096053062,0.365262984103152
"73","GRO",197,"GRO-10","10","Lahalmsbukten","Grötvik",1278014,5664116,1.10763193606798,-0.600992561019124,-0.246851096053062,0.365262984103152
"74","HAN",744,"HAN-01","01","Finland","Hanko",22990247,59824232,-1.59991279654263,0.337331308442991,-1.34439901393728,-1.09820791246908
"75","HAN",749,"HAN-11","11","Finland","Hanko",22990247,59824232,-1.59991279654263,0.337331308442991,-1.34439901393728,-1.09820791246908
"76","HAN",754,"HAN-16","16","Finland","Hanko",22990247,59824232,-1.59991279654263,0.337331308442991,-1.34439901393728,-1.09820791246908
"77","HOG",200,"HOG-01","01","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"78","HOG",216,"HOG-02","02","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"79","HOG",203,"HOG-04","04","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"80","HOG",204,"HOG-05","05","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"81","HOG",205,"HOG-06","06","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"82","HOG",217,"HOG-07","07","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"83","HOG",208,"HOG-09","09","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"84","HOG",210,"HOG-15","15","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"85","HOG",212,"HOG-17","17","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"86","HOG",213,"HOG-18","18","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"87","HOG",214,"HOG-10","10","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"88","HOG",218,"HOG-19","19","Södra Höganäs","Höganäs",1255141,561969,0.430745752915324,-1.53931643048124,0.38031914273792,-0.220125374525741
"89","HOR",587,"HOR-10","10","Hornsudde","Hornsudde",16730625,57695151,-1.59991279654263,0.337331308442991,-1.18760645423953,-0.512819553840187
"90","ING",771,"ING-01","01","Finland","Ingå",24039419,599906558,-0.92302661338998,0.337331308442991,-1.34439901393728,-1.09820791246908
"91","KAL",426,"KAL-01","01","Kalmar","Kalmarsund",16351908,56654431,1.10763193606798,1.2756551779051,-1.18760645423953,-0.512819553840187
"92","KAL",427,"KAL-02","02","Kalmar","Kalmarsund",16351908,56654431,1.10763193606798,1.2756551779051,-1.18760645423953,-0.512819553840187
"93","KAL",441,"KAL-04","04","Kalmar","Kalmarsund",16351908,56654431,1.10763193606798,1.2756551779051,-1.18760645423953,-0.512819553840187
"94","KAL",436,"KAL-06","06","Kalmar","Kalmarsund",16351908,56654431,1.10763193606798,1.2756551779051,-1.18760645423953,-0.512819553840187
"95","KAL",448,"KAL-20","20","Kalmar","Kalmarsund",16351908,56654431,1.10763193606798,1.2756551779051,-1.18760645423953,-0.512819553840187
"96","KAR",451,"KAR-02","02","Öland","Kårehamn",16912377,56969566,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"97","KAR",460,"KAR-03","03","Öland","Kårehamn",16912377,56969566,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"98","KAV",69,"KAV-01","01","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"99","KAV",71,"KAV-02","02","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"100","KAV",72,"KAV-03","03","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"101","KAV",75,"KAV-04","04","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"102","KAV",76,"KAV-05","05","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"103","KAV",77,"KAV-06","06","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"104","KAV",78,"KAV-07","07","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"105","KAV",79,"KAV-08","08","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"106","KAV",84,"KAV-11","11","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"107","KAV",85,"KAV-14","14","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"108","KAV",86,"KAV-15","15","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"109","KAV",87,"KAV-16","16","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"110","KAV",90,"KAV-17","17","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.430745752915324,-0.600992561019124,1.0074893815289,2.12142805998983
"111","KIE",2,"KIE-01","01","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"112","KIE",4,"KIE-03","03","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"113","KIE",5,"KIE-04","04","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"114","KIE",7,"KIE-05","05","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"115","KIE",11,"KIE-09","09","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"116","KIE",12,"KIE-10","10","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"117","KIE",14,"KIE-11","11","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"118","KIE",15,"KIE-12","12","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"119","KIE",16,"KIE-13","13","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"120","KIE",20,"KIE-14","14","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"121","KIE",21,"KIE-18","18","Germany","Kiel",10154972,54345615,1.10763193606798,1.2756551779051,-0.403643655750807,0.657957163417598
"122","KLI",563,"KLI-02","02","Gotland","Klintehamn",18152719,57401162,-0.246140430237328,2.21397904736722,-1.18760645423953,-0.512819553840187
