bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
82,A3,BJO_gen-11,082_A3_BJO_gen-11_TempWarm-16psu,absolutely yes,16psu,TempWarm,6,35.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
83,A3,BAR_gen-11,083_A3_BAR_gen-11_TempWarm-16psu,yes,16psu,TempWarm,5,37.0,4,3,0.30,4.7,12.4,NA,NA,NA,NA,NA,17.5,9.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0.81,0.00,0.00,2.10,N,Y,TRUE,"super baby leaf, too small to measure"
84,A3,HOR_gen-11,084_A3_HOR_gen-11_TempWarm-16psu,,16psu,TempWarm,4,44.0,5,2,0.30,34.7,14.5,0.2,NA,NA,NA,NA,14.4,34.9,NA,NA,NA,NA,1,3,13.5,8.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,0.66,0.52,0.00,2.39,N,Y,TRUE,new shoot leaf3 was broken on the end
85,A3,HOG_gen-11,085_A3_HOG_gen-11_TempWarm-16psu,,16psu,TempWarm,7,43.6,5,3,0.35,3.5,18.8,NA,NA,NA,NA,NA,29.4,18.1,2.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0.45,0.00,0.00,2.03,Y,Y,TRUE,
86,A3,VIK_gen-11,086_A3_VIK_gen-11_TempWarm-16psu,yes,16psu,TempWarm,4,24.6,4,3,0.40,12.6,NA,NA,NA,NA,NA,NA,12.6,6.7,14.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.45,0.00,0.00,1.77,N,Y,TRUE,"super baby leaf, too small to measure"
87,A3,VAT_gen-11,087_A3_VAT_gen-11_TempWarm-16psu,yes,16psu,TempWarm,5,54.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
88,A3,KUR_gen-11,088_A3_KUR_gen-11_TempWarm-16psu,,16psu,TempWarm,4,23.0,5,3,0.25,21.4,4.8,NA,NA,NA,NA,NA,24.6,7.6,30.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70,0.65,0.00,0.00,2.35,N,Y,TRUE,
90,A3,BAR_gen-12,090_A3_BAR_gen-12_TempWarm-5psu,,5psu,TempWarm,6,38.0,3,2,0.20,8.2,NA,NA,NA,NA,NA,NA,3.9,11.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.13,0.00,0.00,1.38,N,Y,TRUE,"super baby leaf, too small to measure"
97,A4,HOG_gen-13,097_A4_HOG_gen-13_TempWarm-16psu,,16psu,TempWarm,6,31.3,4,3,0.30,16.5,NA,NA,NA,NA,NA,NA,21.2,7.2,26.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,0.70,0.00,0.00,2.31,N,Y,TRUE,
98,A4,BJO_gen-13,098_A4_BJO_gen-13_TempWarm-16psu,,16psu,TempWarm,4,61.2,3,1,0.30,21.9,11.0,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.53,0.00,0.00,2.42,N,Y,TRUE,"super baby leaf, too small to measure"
100,A4,BAR_gen-13,100_A4_BAR_gen-13_TempWarm-16psu,yes,16psu,TempWarm,4,33.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.3,1.4,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.00,0.03,0.00,1.35,N,Y,TRUE,"main shoot was dead, side shoot still alive"
101,A4,VIK_gen-13,101_A4_VIK_gen-13_TempWarm-16psu,,16psu,TempWarm,5,46.4,4,3,0.40,NA,NA,NA,NA,NA,NA,NA,29.6,10.1,21.9,0.20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.81,0.00,0.00,2.56,N,Y,TRUE,no hole
102,A4,HOR_gen-13,102_A4_HOR_gen-13_TempWarm-16psu,yes,16psu,TempWarm,5,23.5,4,3,0.30,0.4,NA,NA,NA,NA,NA,NA,22.6,5.8,20.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.13,0.00,0.00,0.94,N,Y,TRUE,
112,A4,HOG_gen-14,112_A4_HOG_gen-14_TempWarm-5psu,,5psu,TempWarm,5,41.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
113,A4,KAL_gen-15,113_A4_KAL_gen-15_TempWarm-16psu,,16psu,TempWarm,4,35.5,5,2,0.30,35.1,13.9,NA,NA,NA,NA,NA,20.1,34.1,1.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.80,0.00,0.00,1.47,N,Y,TRUE,
114,A4,BAR_gen-15,114_A4_BAR_gen-15_TempWarm-16psu,yes,16psu,TempWarm,5,35.0,3,2,0.25,12.6,NA,NA,NA,NA,NA,NA,14.6,2.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.17,0.00,0.00,0.94,N,Y,TRUE,
115,A4,KUR_gen-15,115_A4_KUR_gen-15_TempWarm-16psu,absolutely yes,16psu,TempWarm,5,15.0,3,2,0.30,13.8,NA,NA,NA,NA,NA,NA,2.8,14.7,NA,NA,NA,NA,1,1,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.12,0.01,0.00,0.50,N,Y,TRUE,
117,A4,HOG_gen-15,117_A4_HOG_gen-15_TempWarm-16psu,,16psu,TempWarm,6,32.6,4,3,0.30,16.9,NA,NA,NA,NA,NA,NA,32.9,6.9,23.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.66,0.00,0.00,1.63,N,Y,TRUE,
118,A4,BJO_gen-15,118_A4_BJO_gen-15_TempWarm-16psu,yes,16psu,TempWarm,5,31.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
120,A4,VIK_gen-15,120_A4_VIK_gen-15_TempWarm-16psu,,16psu,TempWarm,4,21.5,3,2,0.30,15.2,NA,NA,NA,NA,NA,NA,8.1,15.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.27,0.00,0.00,1.03,N,Y,TRUE,"super baby leaf, too small to measure"
124,A4,HOG_gen-16,124_A4_HOG_gen-16_TempWarm-5psu,,5psu,TempWarm,5,51.3,4,2,0.35,24.0,10.2,NA,NA,NA,NA,NA,25.5,8.0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,0.97,0.00,0.00,2.34,N,Y,TRUE,starting to rot from meristem
126,A4,KAL_gen-16,126_A4_KAL_gen-16_TempWarm-5psu,,5psu,TempWarm,5,78.8,4,2,0.40,20.2,NA,NA,NA,NA,NA,NA,27.5,13.7,1.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.54,0.00,0.00,1.63,N,Y,TRUE,
131,B1,HOR_gen-17,131_B1_HOR_gen-17_TempWarm-16psu,,16psu,TempWarm,5,32.0,3,2,0.30,19.2,NA,NA,NA,NA,NA,NA,11.8,1.9,NA,NA,NA,NA,1,3,13.7,6.1,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30,0.18,0.09,0.00,1.57,N,Y,TRUE,
133,B1,BJO_gen-17,133_B1_BJO_gen-17_TempWarm-16psu,yes,16psu,TempWarm,4,29.7,4,2,0.35,2.5,11.7,NA,NA,NA,NA,NA,9.4,0.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.31,0.00,0.00,1.87,Y,Y,TRUE,
134,B1,KAL_gen-17,134_B1_KAL_gen-17_TempWarm-16psu,,16psu,TempWarm,5,73.8,5,3,0.40,12.6,37.7,NA,NA,NA,NA,NA,45.0,7.1,29.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,1.22,0.00,0.00,2.95,N,Y,TRUE,
135,B1,VIK_gen-17,135_B1_VIK_gen-17_TempWarm-16psu,,16psu,TempWarm,4,32.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,NA,4,10.5,3.5,14.5,0.67,0.25,0.01,0.00,0.93,N,Y,TRUE,FLOWERING ; side shoot is broken off
136,B1,KUR_gen-17,136_B1_KUR_gen-17_TempWarm-16psu,,16psu,TempWarm,5,18.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
145,B1,BJO_gen-19,145_B1_BJO_gen-19_TempWarm-16psu,yes,16psu,TempWarm,5,29.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
146,B1,VIK_gen-19,146_B1_VIK_gen-19_TempWarm-16psu,,16psu,TempWarm,4,28.8,4,3,0.35,12.5,NA,NA,NA,NA,NA,NA,13.4,5.9,16.1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.43,0.00,0.00,1.52,N,Y,TRUE,"super baby leaf, too small to measure"
147,B1,KUR_gen-19,147_B1_KUR_gen-19_TempWarm-16psu,,16psu,TempWarm,5,22.7,4,3,0.20,13.5,NA,NA,NA,NA,NA,NA,15.2,0.9,9.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,0.19,0.00,0.00,1.02,Y,Y,TRUE,
148,B1,KAL_gen-19,148_B1_KAL_gen-19_TempWarm-16psu,,16psu,TempWarm,4,81.6,6,3,0.35,5.2,25.0,36.0,NA,NA,NA,NA,40.6,20.0,1.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,1.65,0.00,0.00,2.83,N,Y,TRUE,leaves have been eaten
150,B1,HOR_gen-19,150_B1_HOR_gen-19_TempWarm-16psu,,16psu,TempWarm,5,35.0,4,3,0.30,17.5,NA,NA,NA,NA,NA,NA,32.8,13.5,0.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.45,0.00,0.00,1.33,N,Y,TRUE,
151,B1,HOG_gen-19,151_B1_HOG_gen-19_TempWarm-16psu,,16psu,TempWarm,5,42.0,4,3,0.30,21.6,NA,NA,NA,NA,NA,NA,23.6,8.4,32.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,0.87,0.00,0.00,2.61,N,Y,TRUE,
152,B1,VAT_gen-19,152_B1_VAT_gen-19_TempWarm-16psu,,16psu,TempWarm,5,51.0,4,3,0.55,19.0,NA,NA,NA,NA,NA,NA,20.6,7.1,27.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,1.63,0.00,0.00,4.35,Y,Y,TRUE,
161,B2,BAR_gen-21,161_B2_BAR_gen-21_TempWarm-16psu,,16psu,TempWarm,4,39.5,4,2,0.30,22.8,7.5,NA,NA,NA,NA,NA,5.6,27.6,NA,NA,NA,NA,1,2,3.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.45,0.04,0.00,1.56,N,Y,TRUE,
162,B2,HOG_gen-21,162_B2_HOG_gen-21_TempWarm-16psu,,16psu,TempWarm,5,49.0,4,3,0.20,12.1,NA,NA,NA,NA,NA,NA,17.4,2.5,10.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,0.39,0.00,0.00,1.84,N,Y,TRUE,
165,B2,VIK_gen-21,165_B2_VIK_gen-21_TempWarm-16psu,,16psu,TempWarm,4,30.8,4,4,0.40,NA,NA,NA,NA,NA,NA,NA,15.6,2.0,11.8,18.0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,0.50,0.00,0.00,1.74,N,Y,TRUE,
166,B2,KUR_gen-21,166_B2_KUR_gen-21_TempWarm-16psu,absolutely yes,16psu,TempWarm,5,13.8,4,2,0.20,14.7,5.5,NA,NA,NA,NA,NA,11.9,1.7,NA,NA,NA,NA,1,2,8.6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.14,0.04,0.00,0.87,N,Y,TRUE,
168,B2,HOR_gen-21,168_B2_HOR_gen-21_TempWarm-16psu,,16psu,TempWarm,5,40.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
169,B2,KAL_gen-22,169_B2_KAL_gen-22_TempWarm-5psu,,5psu,TempWarm,5,51.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
176,B2,HOG_gen-22,176_B2_HOG_gen-22_TempWarm-5psu,,5psu,TempWarm,5,33.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
177,B2,KAL_gen-23,177_B2_KAL_gen-23_TempWarm-16psu,absolutely yes,16psu,TempWarm,4,46.0,4,1,0.40,2.0,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,0.62,0.00,0.00,1.79,N,Y,TRUE,leaves have been eaten; 2 leaves too eaten to measure
178,B2,HOG_gen-23,178_B2_HOG_gen-23_TempWarm-16psu,yes,16psu,TempWarm,5,19.4,3,2,0.30,17.7,NA,NA,NA,NA,NA,NA,5.6,15.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,0.30,0.00,0.00,1.96,N,Y,TRUE,
179,B2,BJO_gen-23,179_B2_BJO_gen-23_TempWarm-16psu,yes,16psu,TempWarm,6,21.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
180,B2,KUR_gen-23,180_B2_KUR_gen-23_TempWarm-16psu,yes,16psu,TempWarm,5,19.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
181,B2,VIK_gen-23,181_B2_VIK_gen-23_TempWarm-16psu,yes,16psu,TempWarm,4,14.0,3,3,0.30,NA,NA,NA,NA,NA,NA,NA,9.9,0.7,14.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.09,0.00,0.00,0.38,N,Y,TRUE,
182,B2,BAR_gen-23,182_B2_BAR_gen-23_TempWarm-16psu,yes,16psu,TempWarm,4,37.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
183,B2,HOR_gen-23,183_B2_HOR_gen-23_TempWarm-16psu,,16psu,TempWarm,5,55.7,4,2,0.35,28.0,12.8,NA,NA,NA,NA,NA,34.3,4.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,1.59,0.00,0.00,4.07,Y,Y,TRUE,
184,B2,VAT_gen-23,184_B2_VAT_gen-23_TempWarm-16psu,,16psu,TempWarm,6,29.5,5,2,0.40,2.8,22.4,12.1,NA,NA,NA,NA,7.0,16.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.06,0.00,0.00,2.42,N,NA,TRUE,
191,B2,HOG_gen-24,191_B2_HOG_gen-24_TempWarm-5psu,,5psu,TempWarm,5,33.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
193,B3,HOR_gen-25,193_B3_HOR_gen-25_TempWarm-16psu,yes,16psu,TempWarm,5,27.1,4,2,0.30,17.0,5.6,NA,NA,NA,NA,NA,21.8,9.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,0.45,0.00,0.00,1.56,N,Y,TRUE,
196,B3,KAL_gen-25,196_B3_KAL_gen-25_TempWarm-16psu,,16psu,TempWarm,5,52.5,4,2,0.40,7.6,35.0,NA,NA,NA,NA,NA,37.9,12.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.95,0.00,0.00,2.21,Y,Y,TRUE,
197,B3,BAR_gen-25,197_B3_BAR_gen-25_TempWarm-16psu,yes,16psu,TempWarm,4,33.7,3,2,0.30,13.6,NA,NA,NA,NA,NA,NA,33.0,19.1,NA,NA,NA,NA,1,2,5.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.39,0.03,0.00,1.57,N,Y,TRUE,had side shoot but it was rotten from meristem - this shoot leaf1 had a hole at 5
198,B3,VIK_gen-25,198_B3_VIK_gen-25_TempWarm-16psu,yes,16psu,TempWarm,4,12.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7.3,5.2,1.0,NA,NA,NA,1,1,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.00,0.01,0.09,0.46,N,Y,TRUE,"main shoot was dead, side shoot still alive"
199,B3,HOG_gen-25,199_B3_HOG_gen-25_TempWarm-16psu,,16psu,TempWarm,6,71.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
209,B3,VIK_gen-27,209_B3_VIK_gen-27_TempWarm-16psu,absolutely yes,16psu,TempWarm,4,13.5,4,4,0.30,NA,NA,NA,NA,NA,NA,NA,11.7,11.6,15.0,2.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.20,0.00,0.00,0.38,N,Y,TRUE,
210,B3,BAR_gen-27,210_B3_BAR_gen-27_TempWarm-16psu,yes,16psu,TempWarm,5,38.1,4,2,0.30,10.0,22.0,NA,NA,NA,NA,NA,12.5,3.4,NA,NA,NA,NA,1,2,8.3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.47,0.11,0.00,1.56,N,Y,TRUE,
211,B3,HOG_gen-27,211_B3_HOG_gen-27_TempWarm-16psu,yes,16psu,TempWarm,5,36.5,4,4,0.30,NA,NA,NA,NA,NA,NA,NA,10.6,5.6,13.8,0.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,0.29,0.00,0.00,1.96,N,Y,TRUE,
212,B3,KUR_gen-27,212_B3_KUR_gen-27_TempWarm-16psu,,16psu,TempWarm,4,24.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,NA,NA,FALSE,DEAD
214,B3,KAL_gen-27,214_B3_KAL_gen-27_TempWarm-16psu,,16psu,TempWarm,6,59.0,5,3,0.40,22.0,36.5,NA,NA,NA,NA,NA,33.0,13.5,0.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77,1.19,0.00,0.00,3.96,N,Y,TRUE,
215,B3,HOR_gen-27,215_B3_HOR_gen-27_TempWarm-16psu,,16psu,TempWarm,5,40.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,17.0,10.6,14.8,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,0.00,0.24,0.00,1.72,N,Y,TRUE,"main shoot was dead, side shoot still alive ; side shoot had hole on one of the dead leaves"
216,B3,VAT_gen-27,216_B3_VAT_gen-27_TempWarm-16psu,,16psu,TempWarm,5,45.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,11.9,8.7,9.3,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,0.00,0.19,0.00,0.00,N,Y,TRUE,"main shoot was dead, side shoot still alive ; new shoot 1 has a hole on leaf1, growth to hole is 2.5; new shoot 1 has a hole on leaf3, growth to hole is 8.5"
221,B3,KAL_gen-28,221_B3_KAL_gen-28_TempWarm-5psu,,5psu,TempWarm,5,35.3,5,3,0.35,24.4,12.1,NA,NA,NA,NA,NA,9.3,23.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,0.87,0.00,0.00,2.01,N,Y,TRUE,"super baby leaf, too small to measure"
225,B4,BJO_gen-29,225_B4_BJO_gen-29_TempWarm-16psu,yes,16psu,TempWarm,4,24.3,3,1,0.30,15.6,6.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.27,0.00,0.00,0.95,Y,Y,TRUE,
