"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"352","KAV",75,"KAV-04","04","Kämpersvik",1.84717949528045e-05
"353","KAV",76,"KAV-05","05","Kämpersvik",1.84717949528045e-05
"354","KAV",77,"KAV-06","06","Kämpersvik",6.32770256589895e-05
"355","KAV",78,"KAV-07","07","Kämpersvik",6.32770256589895e-05
"356","KAV",79,"KAV-08","08","Kämpersvik",6.32770256589895e-05
"357","KAV",69,"KAV-09","09","Kämpersvik",6.32770256589895e-05
"358","KAV",79,"KAV-10","10","Kämpersvik",6.32770256589895e-05
"359","KAV",84,"KAV-11","11","Kämpersvik",6.32770256589895e-05
"360","KAV",84,"KAV-12","12","Kämpersvik",6.32770256589895e-05
"361","KAV",84,"KAV-13","13","Kämpersvik",6.32770256589895e-05
"362","KAV",85,"KAV-14","14","Kämpersvik",6.32770256589895e-05
"363","KAV",86,"KAV-15","15","Kämpersvik",6.32770256589895e-05
"364","KAV",87,"KAV-16","16","Kämpersvik",6.32770256589895e-05
"365","KAV",90,"KAV-17","17","Kämpersvik",6.32770256589895e-05
"366","KAV",90,"KAV-18","18","Kämpersvik",6.32770256589895e-05
"367","KAV",90,"KAV-19","19","Kämpersvik",6.32770256589895e-05
"368","KAV",90,"KAV-20","20","Kämpersvik",6.32770256589895e-05
"369","KIE",2,"KIE-01","01","Kiel",9.64458655333454e-05
"370","KIE",2,"KIE-02","02","Kiel",9.64458655333454e-05
"371","KIE",4,"KIE-03","03","Kiel",9.64458655333454e-05
"372","KIE",5,"KIE-04","04","Kiel",9.64458655333454e-05
"373","KIE",7,"KIE-05","05","Kiel",9.64458655333454e-05
"374","KIE",5,"KIE-06","06","Kiel",9.64458655333454e-05
"375","KIE",5,"KIE-08","08","Kiel",9.64458655333454e-05
"376","KIE",11,"KIE-09","09","Kiel",9.64458655333454e-05
"377","KIE",12,"KIE-10","10","Kiel",9.64458655333454e-05
"378","KIE",14,"KIE-11","11","Kiel",9.64458655333454e-05
"379","KIE",15,"KIE-12","12","Kiel",9.64458655333454e-05
"380","KIE",16,"KIE-13","13","Kiel",9.64458655333454e-05
"381","KIE",20,"KIE-14","14","Kiel",9.64458655333454e-05
"382","KIE",20,"KIE-15","15","Kiel",9.64458655333454e-05
"383","KIE",20,"KIE-16","16","Kiel",9.64458655333454e-05
"384","KIE",20,"KIE-17","17","Kiel",9.64458655333454e-05
"385","KIE",21,"KIE-18","18","Kiel",9.64458655333454e-05
"386","KIE",21,"KIE-19","19","Kiel",9.64458655333454e-05
"387","KIE",21,"KIE-20","20","Kiel",9.64458655333454e-05
"388","KLI",563,"KLI-02","02","Klintehamn",2.56023836840353e-05
"389","KLI",563,"KLI-03","03","Klintehamn",2.56023836840353e-05
"390","KLI",563,"KLI-04","04","Klintehamn",2.56023836840353e-05
"391","KLI",563,"KLI-05","05","Klintehamn",2.56023836840353e-05
"392","KLI",561,"KLI-07","07","Klintehamn",2.56023836840353e-05
"393","KLI",561,"KLI-08","08","Klintehamn",2.56023836840353e-05
"394","KLI",561,"KLI-09","09","Klintehamn",2.56023836840353e-05
"395","KLI",563,"KLI-10","10","Klintehamn",2.56023836840353e-05
"396","KLI",563,"KLI-13","13","Klintehamn",2.56023836840353e-05
"397","KLI",561,"KLI-15","15","Klintehamn",2.56023836840353e-05
"398","KLI",561,"KLI-16","16","Klintehamn",2.56023836840353e-05
"399","KLI",575,"KLI-17","17","Klintehamn",2.56023836840353e-05
"400","KLI",561,"KLI-01","01","Klintehamn",2.56023836840353e-05
"401","KLI",569,"KLI-06","06","Klintehamn",2.56023836840353e-05
"402","KLI",563,"KLI-12","12","Klintehamn",2.56023836840353e-05
"403","KLI",561,"KLI-14","14","Klintehamn",2.56023836840353e-05
"404","KLI",573,"KLI-18","18","Klintehamn",2.56023836840353e-05
"405","KLI",573,"KLI-19","19","Klintehamn",2.56023836840353e-05
"406","KLI",575,"KLI-20","20","Klintehamn",2.56023836840353e-05
"407","KOD",39,"KOD-04","04","Koster donor site",2.08789809896685e-05
"408","KOD",25,"KOD-13","13","Koster donor site",2.08789809896685e-05
"409","KOD",25,"KOD-14","14","Koster donor site",2.08789809896685e-05
"410","KOD",43,"KOD-15","15","Koster donor site",2.08789809896685e-05
"411","KOD",28,"KOD-16","16","Koster donor site",2.08789809896685e-05
"412","KOD",29,"KOD-18","18","Koster donor site",2.08789809896685e-05
"413","KOD",30,"KOD-19","19","Koster donor site",2.08789809896685e-05
"414","KOD",31,"KOD-20","20","Koster donor site",2.08789809896685e-05
"415","KOD",33,"KOD-01","01","Koster donor site",2.08789809896685e-05
"416","KOD",33,"KOD-02","02","Koster donor site",2.08789809896685e-05
"417","KOD",39,"KOD-03","03","Koster donor site",2.08789809896685e-05
"418","KOD",39,"KOD-05","05","Koster donor site",2.08789809896685e-05
"419","KOD",39,"KOD-06","06","Koster donor site",2.08789809896685e-05
"420","KOD",39,"KOD-07","07","Koster donor site",2.08789809896685e-05
"421","KOD",39,"KOD-08","08","Koster donor site",2.08789809896685e-05
"422","KOD",39,"KOD-09","09","Koster donor site",2.08789809896685e-05
"423","KOD",41,"KOD-10","10","Koster donor site",2.08789809896685e-05
"424","KOD",42,"KOD-11","11","Koster donor site",2.08789809896685e-05
"425","KOD",43,"KOD-17","17","Koster donor site",2.08789809896685e-05
"426","KRA",642,"KRA-04","04","Krampö",3.43496797909414e-05
"427","KRA",642,"KRA-11","11","Krampö",3.43496797909414e-05
"428","KRA",642,"KRA-15","15","Krampö",3.43496797909414e-05
"429","KRA",642,"KRA-17","17","Krampö",3.43496797909414e-05
"430","KRA",642,"KRA-18","18","Krampö",3.43496797909414e-05
"431","KRA",642,"KRA-01","01","Krampö",3.43496797909414e-05
"432","KRA",642,"KRA-03","03","Krampö",3.43496797909414e-05
"433","KRA",642,"KRA-16","16","Krampö",3.43496797909414e-05
"434","KRA",642,"KRA-20","20","Krampö",3.43496797909414e-05
"435","KUR",288,"KUR-01","01","Kurland",4.08998371312232e-05
"436","KUR",288,"KUR-02","02","Kurland",4.08998371312232e-05
"437","KUR",288,"KUR-03","03","Kurland",4.08998371312232e-05
"438","KUR",288,"KUR-04","04","Kurland",4.08998371312232e-05
"439","KUR",288,"KUR-05","05","Kurland",4.08998371312232e-05
"440","KUR",288,"KUR-06","06","Kurland",4.08998371312232e-05
"441","KUR",291,"KUR-07","07","Kurland",4.08998371312232e-05
"442","KUR",288,"KUR-08","08","Kurland",4.08998371312232e-05
"443","KUR",294,"KUR-09","09","Kurland",4.08998371312232e-05
"444","KUR",296,"KUR-10","10","Kurland",4.08998371312232e-05
"445","KUR",297,"KUR-11","11","Kurland",4.08998371312232e-05
"446","KUR",297,"KUR-12","12","Kurland",4.08998371312232e-05
"447","KUR",299,"KUR-13","13","Kurland",4.08998371312232e-05
"448","KUR",302,"KUR-14","14","Kurland",4.08998371312232e-05
"449","KUR",302,"KUR-15","15","Kurland",4.08998371312232e-05
"450","KUR",302,"KUR-16","16","Kurland",4.08998371312232e-05
"451","KUR",302,"KUR-17","17","Kurland",4.08998371312232e-05
"452","KUR",306,"KUR-18","18","Kurland",4.08998371312232e-05
"453","KUR",306,"KUR-19","19","Kurland",4.08998371312232e-05
"454","KUR",306,"KUR-20","20","Kurland",4.08998371312232e-05
"455","LJU",540,"LJU-01","01","Ljugarn",4.22918361968296e-05
"456","LJU",540,"LJU-02","02","Ljugarn",4.22918361968296e-05
"457","LJU",540,"LJU-03","03","Ljugarn",4.22918361968296e-05
"458","LJU",540,"LJU-04","04","Ljugarn",4.22918361968296e-05
"459","LJU",540,"LJU-05","05","Ljugarn",4.22918361968296e-05
"460","LJU",540,"LJU-06","06","Ljugarn",4.22918361968296e-05
"461","LJU",546,"LJU-08","08","Ljugarn",4.22918361968296e-05
"462","LJU",546,"LJU-09","09","Ljugarn",4.22918361968296e-05
"463","LJU",546,"LJU-10","10","Ljugarn",4.22918361968296e-05
"464","LJU",546,"LJU-11","11","Ljugarn",4.22918361968296e-05
"465","LJU",546,"LJU-12","12","Ljugarn",4.22918361968296e-05
"466","LJU",546,"LJU-13","13","Ljugarn",4.22918361968296e-05
"467","LJU",546,"LJU-14","14","Ljugarn",4.22918361968296e-05
"468","LJU",551,"LJU-17","17","Ljugarn",4.22918361968296e-05
"469","LJU",546,"LJU-18","18","Ljugarn",4.22918361968296e-05
"470","LJU",546,"LJU-19","19","Ljugarn",4.22918361968296e-05
"471","LJU",555,"LJU-20","20","Ljugarn",4.22918361968296e-05
"472","LOM",265,"LOM-01","01","South Lomma Bay",5.49817431234051e-06
"473","LOM",267,"LOM-02","02","South Lomma Bay",5.49817431234051e-06
"474","LOM",267,"LOM-03","03","South Lomma Bay",5.49817431234051e-06
"475","LOM",268,"LOM-04","04","South Lomma Bay",5.49817431234051e-06
"476","LOM",270,"LOM-05","05","South Lomma Bay",5.49817431234051e-06
"477","LOM",270,"LOM-06","06","South Lomma Bay",5.49817431234051e-06
"478","LOM",273,"LOM-07","07","South Lomma Bay",5.49817431234051e-06
"479","LOM",273,"LOM-08","08","South Lomma Bay",5.49817431234051e-06
"480","LOM",273,"LOM-09","09","South Lomma Bay",5.49817431234051e-06
"481","LOM",274,"LOM-10","10","South Lomma Bay",5.49817431234051e-06
"482","LOM",275,"LOM-11","11","South Lomma Bay",5.49817431234051e-06
"483","LOM",277,"LOM-12","12","South Lomma Bay",5.49817431234051e-06
"484","LOM",277,"LOM-13","13","South Lomma Bay",5.49817431234051e-06
"485","LOM",278,"LOM-14","14","South Lomma Bay",4.40017380646458e-05
"486","LOM",279,"LOM-16","16","South Lomma Bay",4.40017380646458e-05
"487","LOM",280,"LOM-17","17","South Lomma Bay",4.40017380646458e-05
"488","LOM",281,"LOM-18","18","South Lomma Bay",4.40017380646458e-05
"489","LOM",282,"LOM-19","19","South Lomma Bay",4.40017380646458e-05
"490","LOM",284,"LOM-20","20","South Lomma Bay",4.40017380646458e-05
"491","NOV",138,"NOV-01","01","N. Överön",4.40017380646458e-05
"492","NOV",138,"NOV-03","03","N. Överön",4.40017380646458e-05
"493","NOV",144,"NOV-04","04","N. Överön",4.40017380646458e-05
"494","NOV",144,"NOV-05","05","N. Överön",4.40017380646458e-05
"495","NOV",147,"NOV-06","06","N. Överön",4.40017380646458e-05
"496","NOV",146,"NOV-08","08","N. Överön",4.40017380646458e-05
"497","NOV",147,"NOV-09","09","N. Överön",4.40017380646458e-05
"498","NOV",148,"NOV-13","13","N. Överön",4.40017380646458e-05
"499","NOV",149,"NOV-14","14","N. Överön",4.40017380646458e-05
"500","NOV",150,"NOV-15","15","N. Överön",4.40017380646458e-05
"501","NOV",150,"NOV-16","16","N. Överön",4.40017380646458e-05
"502","NOV",152,"NOV-18","18","N. Överön",5.33466552988073e-05
"503","NOV",153,"NOV-20","20","N. Överön",5.33466552988073e-05
"504","NYN",659,"NYN-02","02","Nynäshamn",5.33466552988073e-05
"505","NYN",649,"NYN-03","03","Nynäshamn",5.33466552988073e-05
"506","NYN",659,"NYN-04","04","Nynäshamn",5.33466552988073e-05
"507","NYN",659,"NYN-11","11","Nynäshamn",5.33466552988073e-05
"508","NYN",659,"NYN-12","12","Nynäshamn",5.33466552988073e-05
"509","NYN",659,"NYN-13","13","Nynäshamn",5.33466552988073e-05
"510","NYN",659,"NYN-14","14","Nynäshamn",5.33466552988073e-05
"511","NYN",659,"NYN-18","18","Nynäshamn",5.33466552988073e-05
"512","NYN",659,"NYN-19","19","Nynäshamn",5.33466552988073e-05
"513","NYN",659,"NYN-01","01","Nynäshamn",5.33466552988073e-05
"514","NYN",659,"NYN-07","07","Nynäshamn",5.33466552988073e-05
"515","NYN",659,"NYN-08","08","Nynäshamn",5.33466552988073e-05
"516","NYN",659,"NYN-09","09","Nynäshamn",5.33466552988073e-05
"517","NYN",659,"NYN-10","10","Nynäshamn",5.33466552988073e-05
"518","NYN",659,"NYN-15","15","Nynäshamn",5.33466552988073e-05
"519","NYN",659,"NYN-16","16","Nynäshamn",5.33466552988073e-05
"520","NYN",659,"NYN-17","17","Nynäshamn",5.33466552988073e-05
"521","OSK",471,"OSK-01","01","Oskarshamn",5.33466552988073e-05
"522","OSK",471,"OSK-02","02","Oskarshamn",0.000127689255045393
"523","OSK",471,"OSK-03","03","Oskarshamn",0.000127689255045393
"524","OSK",471,"OSK-04","04","Oskarshamn",0.000127689255045393
"525","OSK",471,"OSK-05","05","Oskarshamn",0.000127689255045393
"526","OSK",474,"OSK-06","06","Oskarshamn",0.000127689255045393
"527","OSK",474,"OSK-07","07","Oskarshamn",0.000127689255045393
"528","OSK",474,"OSK-08","08","Oskarshamn",0.000127689255045393
"529","OSK",474,"OSK-09","09","Oskarshamn",0.000127689255045393
"530","OSK",474,"OSK-10","10","Oskarshamn",0.000127689255045393
"531","OSK",474,"OSK-11","11","Oskarshamn",0.000127689255045393
"532","OSK",474,"OSK-12","12","Oskarshamn",0.000127689255045393
"533","OSK",474,"OSK-13","13","Oskarshamn",0.000127689255045393
"534","OSK",474,"OSK-14","14","Oskarshamn",0.000127689255045393
"535","OSK",474,"OSK-15","15","Oskarshamn",0.000127689255045393
"536","OSK",474,"OSK-16","16","Oskarshamn",0.000127689255045393
"537","OSK",474,"OSK-17","17","Oskarshamn",0.000127689255045393
"538","OSK",474,"OSK-18","18","Oskarshamn",0.000127689255045393
"539","OSK",474,"OSK-19","19","Oskarshamn",0.000127689255045393
"540","OSK",474,"OSK-20","20","Oskarshamn",0.000127689255045393
"541","RAU",714,"RAU-01","01","Rauma",0.000127689255045393
"542","RAU",714,"RAU-02","02","Rauma",6.35253018060007e-06
"543","RAU",714,"RAU-03","03","Rauma",6.35253018060007e-06
"544","RAU",714,"RAU-04","04","Rauma",6.35253018060007e-06
"545","RAU",714,"RAU-05","05","Rauma",6.35253018060007e-06
"546","RAU",714,"RAU-06","06","Rauma",6.35253018060007e-06
"547","RAU",714,"RAU-07","07","Rauma",6.35253018060007e-06
"548","RAU",714,"RAU-08","08","Rauma",6.35253018060007e-06
"549","RAU",714,"RAU-09","09","Rauma",6.35253018060007e-06
"550","RAU",714,"RAU-10","10","Rauma",6.35253018060007e-06
"551","RAU",714,"RAU-11","11","Rauma",6.35253018060007e-06
"552","RAU",714,"RAU-12","12","Rauma",6.35253018060007e-06
"553","RAU",714,"RAU-13","13","Rauma",6.35253018060007e-06
"554","RAU",714,"RAU-14","14","Rauma",6.35253018060007e-06
"555","RAU",714,"RAU-15","15","Rauma",6.35253018060007e-06
"556","RAU",714,"RAU-16","16","Rauma",6.35253018060007e-06
"557","RAU",714,"RAU-17","17","Rauma",6.35253018060007e-06
"558","RAU",714,"RAU-18","18","Rauma",6.35253018060007e-06
"559","RAU",714,"RAU-19","19","Rauma",6.35253018060007e-06
"560","RAU",714,"RAU-20","20","Rauma",6.35253018060007e-06
"561","SBR",154,"SBR-01","01","S. Brännö",2.34688240214538e-05
"562","SBR",157,"SBR-02","02","S. Brännö",2.34688240214538e-05
"563","SBR",159,"SBR-03","03","S. Brännö",2.34688240214538e-05
"564","SBR",160,"SBR-04","04","S. Brännö",2.34688240214538e-05
"565","SBR",161,"SBR-05","05","S. Brännö",2.34688240214538e-05
"566","SBR",162,"SBR-07","07","S. Brännö",2.34688240214538e-05
"567","SBR",163,"SBR-08","08","S. Brännö",2.34688240214538e-05
"568","SBR",164,"SBR-09","09","S. Brännö",2.34688240214538e-05
"569","SBR",165,"SBR-10","10","S. Brännö",2.34688240214538e-05
"570","SBR",166,"SBR-11","11","S. Brännö",2.34688240214538e-05
"571","SBR",167,"SBR-12","12","S. Brännö",2.34688240214538e-05
"572","SBR",168,"SBR-13","13","S. Brännö",2.34688240214538e-05
"573","SBR",169,"SBR-14","14","S. Brännö",2.34688240214538e-05
"574","SBR",170,"SBR-15","15","S. Brännö",2.34688240214538e-05
"575","SBR",171,"SBR-16","16","S. Brännö",2.34688240214538e-05
"576","SBR",172,"SBR-17","17","S. Brännö",2.34688240214538e-05
"577","SBR",173,"SBR-18","18","S. Brännö",2.34688240214538e-05
"578","SBR",174,"SBR-19","19","S. Brännö",2.34688240214538e-05
"579","SBR",175,"SBR-20","20","S. Brännö",2.34688240214538e-05
"580","SKI",327,"SKI-01","01","Skillinge",2.34688240214538e-05
"581","SKI",327,"SKI-02","02","Skillinge",8.20462213029371e-05
"582","SKI",327,"SKI-03","03","Skillinge",8.20462213029371e-05
"583","SKI",336,"SKI-04","04","Skillinge",8.20462213029371e-05
"584","SKI",336,"SKI-05","05","Skillinge",8.20462213029371e-05
"585","SKI",336,"SKI-06","06","Skillinge",8.20462213029371e-05
"586","SKI",336,"SKI-07","07","Skillinge",8.20462213029371e-05
"587","SKI",336,"SKI-08","08","Skillinge",8.20462213029371e-05
"588","SKI",336,"SKI-09","09","Skillinge",8.20462213029371e-05
"589","SKI",327,"SKI-10","10","Skillinge",8.20462213029371e-05
"590","SKI",336,"SKI-11","11","Skillinge",8.20462213029371e-05
"591","SKI",336,"SKI-12","12","Skillinge",8.20462213029371e-05
"592","SKI",336,"SKI-13","13","Skillinge",8.20462213029371e-05
"593","SKI",346,"SKI-14","14","Skillinge",8.20462213029371e-05
"594","SKI",346,"SKI-15","15","Skillinge",8.20462213029371e-05
"595","SKI",346,"SKI-16","16","Skillinge",8.20462213029371e-05
"596","SKI",346,"SKI-17","17","Skillinge",8.20462213029371e-05
"597","SKI",346,"SKI-18","18","Skillinge",8.20462213029371e-05
"598","SKI",346,"SKI-19","19","Skillinge",8.20462213029371e-05
"599","SKI",346,"SKI-20","20","Skillinge",8.20462213029371e-05
"600","SLI",597,"SLI-02","02","Slite",4.32667440244116e-05
"601","SLI",594,"SLI-04","04","Slite",4.32667440244116e-05
"602","SLI",597,"SLI-06","06","Slite",4.32667440244116e-05
"603","SLI",597,"SLI-08","08","Slite",4.32667440244116e-05
"604","SLI",597,"SLI-09","09","Slite",4.32667440244116e-05
"605","SLI",597,"SLI-10","10","Slite",4.32667440244116e-05
"606","SLI",597,"SLI-11","11","Slite",4.32667440244116e-05
"607","SLI",597,"SLI-12","12","Slite",4.32667440244116e-05
"608","SLI",597,"SLI-14","14","Slite",4.32667440244116e-05
"609","SLI",597,"SLI-16","16","Slite",4.32667440244116e-05
"610","SLI",597,"SLI-18","18","Slite",4.32667440244116e-05
"611","SLI",597,"SLI-01","01","Slite",4.32667440244116e-05
"612","SLI",597,"SLI-03","03","Slite",4.32667440244116e-05
"613","SLI",606,"SLI-05","05","Slite",4.32667440244116e-05
"614","SLI",597,"SLI-07","07","Slite",4.32667440244116e-05
"615","SLI",597,"SLI-15","15","Slite",4.32667440244116e-05
"616","SLI",597,"SLI-17","17","Slite",4.32667440244116e-05
"617","SLI",597,"SLI-19","19","Slite",4.32667440244116e-05
"618","SLI",597,"SLI-20","20","Slite",4.32667440244116e-05
"619","STE",116,"STE-01","01","Stenungsund",7.35063807695668e-06
"620","STE",117,"STE-03","03","Stenungsund",7.35063807695668e-06
"621","STE",118,"STE-04","04","Stenungsund",7.35063807695668e-06
"622","STE",119,"STE-05","05","Stenungsund",7.35063807695668e-06
"623","STE",135,"STE-06","06","Stenungsund",7.35063807695668e-06
"624","STE",121,"STE-07","07","Stenungsund",7.35063807695668e-06
"625","STE",122,"STE-09","09","Stenungsund",7.35063807695668e-06
"626","STE",123,"STE-11","11","Stenungsund",7.35063807695668e-06
"627","STE",124,"STE-12","12","Stenungsund",7.35063807695668e-06
"628","STE",123,"STE-13","13","Stenungsund",7.35063807695668e-06
"629","STE",126,"STE-14","14","Stenungsund",7.35063807695668e-06
"630","STE",127,"STE-17","17","Stenungsund",7.35063807695668e-06
"631","STE",137,"STE-18","18","Stenungsund",7.35063807695668e-06
"632","STE",131,"STE-19","19","Stenungsund",7.35063807695668e-06
"633","STE",132,"STE-20","20","Stenungsund",7.35063807695668e-06
"634","STE",133,"STE-02","02","Stenungsund",7.35063807695668e-06
"635","STE",136,"STE-08","08","Stenungsund",7.35063807695668e-06
"636","STE",135,"STE-10","10","Stenungsund",7.35063807695668e-06
"637","STE",136,"STE-15","15","Stenungsund",7.35063807695668e-06
"638","STE",137,"STE-16","16","Stenungsund",7.35063807695668e-06
"639","TAL",785,"TAL-01","01","Tallinn",0.000287799389366138
"640","TAL",785,"TAL-02","02","Tallinn",0.000287799389366138
"641","TAL",785,"TAL-03","03","Tallinn",0.000287799389366138
"642","TAL",785,"TAL-04","04","Tallinn",0.000287799389366138
"643","TAL",785,"TAL-05","05","Tallinn",0.000287799389366138
"644","TAL",785,"TAL-06","06","Tallinn",0.000287799389366138
"645","TAL",785,"TAL-07","07","Tallinn",0.000287799389366138
"646","TAL",785,"TAL-08","08","Tallinn",0.000287799389366138
"647","TAL",785,"TAL-09","09","Tallinn",0.000287799389366138
"648","TAL",785,"TAL-10","10","Tallinn",0.000287799389366138
"649","TAL",785,"TAL-11","11","Tallinn",0.000287799389366138
"650","TAL",801,"TAL-12","12","Tallinn",0.000287799389366138
"651","TAL",801,"TAL-13","13","Tallinn",0.000287799389366138
"652","TAL",785,"TAL-14","14","Tallinn",0.000287799389366138
"653","TAL",801,"TAL-15","15","Tallinn",0.000287799389366138
"654","TAL",801,"TAL-16","16","Tallinn",0.000287799389366138
"655","TAL",801,"TAL-17","17","Tallinn",0.000287799389366138
"656","TAL",801,"TAL-18","18","Tallinn",0.000287799389366138
"657","TAL",785,"TAL-19","19","Tallinn",0.000287799389366138
"658","TAL",801,"TAL-20","20","Tallinn",0.000287799389366138
"659","VHA",92,"VHA-01","01","Väst Hjältön",1.37573677862147e-05
"660","VHA",93,"VHA-02","02","Väst Hjältön",1.37573677862147e-05
"661","VHA",94,"VHA-03","03","Väst Hjältön",1.37573677862147e-05
"662","VHA",96,"VHA-04","04","Väst Hjältön",1.37573677862147e-05
"663","VHA",96,"VHA-05","05","Väst Hjältön",1.37573677862147e-05
"664","VHA",97,"VHA-06","06","Väst Hjältön",1.37573677862147e-05
"665","VHA",98,"VHA-07","07","Väst Hjältön",1.37573677862147e-05
"666","VHA",99,"VHA-08","08","Väst Hjältön",1.37573677862147e-05
"667","VHA",100,"VHA-09","09","Väst Hjältön",1.37573677862147e-05
"668","VHA",101,"VHA-10","10","Väst Hjältön",1.37573677862147e-05
"669","VHA",102,"VHA-11","11","Väst Hjältön",1.37573677862147e-05
"670","VHA",102,"VHA-12","12","Väst Hjältön",1.37573677862147e-05
"671","VHA",104,"VHA-13","13","Väst Hjältön",1.37573677862147e-05
"672","VHA",104,"VHA-14","14","Väst Hjältön",1.37573677862147e-05
"673","VHA",106,"VHA-15","15","Väst Hjältön",1.37573677862147e-05
"674","VHA",107,"VHA-16","16","Väst Hjältön",1.37573677862147e-05
"675","VHA",108,"VHA-17","17","Väst Hjältön",1.37573677862147e-05
"676","VHA",110,"VHA-18","18","Väst Hjältön",1.37573677862147e-05
"677","VHA",112,"VHA-19","19","Väst Hjältön",1.37573677862147e-05
"678","VHA",115,"VHA-20","20","Väst Hjältön",1.37573677862147e-05
"679","YST",312,"YST-01","01","Ystad",3.44994052282547e-05
"680","YST",312,"YST-02","02","Ystad",3.44994052282547e-05
"681","YST",312,"YST-03","03","Ystad",3.44994052282547e-05
"682","YST",312,"YST-04","04","Ystad",3.44994052282547e-05
"683","YST",312,"YST-05","05","Ystad",3.44994052282547e-05
"684","YST",312,"YST-08","08","Ystad",3.44994052282547e-05
"685","YST",315,"YST-11","11","Ystad",3.44994052282547e-05
"686","YST",315,"YST-12","12","Ystad",3.44994052282547e-05
"687","YST",317,"YST-15","15","Ystad",3.44994052282547e-05
"688","YST",317,"YST-19","19","Ystad",3.44994052282547e-05
"689","YST",312,"YST-06","06","Ystad",3.44994052282547e-05
"690","YST",312,"YST-07","07","Ystad",3.44994052282547e-05
"691","YST",321,"YST-09","09","Ystad",3.44994052282547e-05
"692","YST",315,"YST-10","10","Ystad",3.44994052282547e-05
"693","YST",315,"YST-14","14","Ystad",3.44994052282547e-05
"694","YST",317,"YST-16","16","Ystad",3.44994052282547e-05
"695","YST",326,"YST-18","18","Ystad",3.44994052282547e-05
"696","YST",326,"YST-20","20","Ystad",3.44994052282547e-05
